Algorithm,Time,Steps,Length
BFS,1.23,48,21
DFS,4.55,178,21
BestFS,0.44,52,21
A,0.49,43,21
Dijkstra,2.9,99,21
BestFS Euclidean,0.74,53,21
A Euclidean,0.04,1,0
BFS,1.94,59,34
DFS,1.48,47,34
BestFS,0.94,53,34
A,0.74,59,34
Dijkstra,3.67,117,34
BestFS Euclidean,0.42,49,34
A Euclidean,0.02,1,0
BFS,1.9,74,33
DFS,2.8,122,33
BestFS,0.8,46,33
A,0.5,53,33
Dijkstra,4.46,150,33
BestFS Euclidean,0.58,46,33
A Euclidean,0.02,1,0
BFS,1.01,58,19
DFS,2.19,88,19
BestFS,0.36,22,19
A,0.32,21,19
Dijkstra,3.35,124,19
BestFS Euclidean,0.29,22,19
A Euclidean,0.01,1,0
BFS,4.48,178,102
DFS,3.38,134,102
BestFS,1.64,118,102
A,2.14,174,102
Dijkstra,10.28,355,102
BestFS Euclidean,1.57,132,102
A Euclidean,0.02,1,0
BFS,4.14,151,64
DFS,3.47,119,64
BestFS,1.2,121,64
A,1.21,129,64
Dijkstra,8.55,302,64
BestFS Euclidean,1.55,118,64
A Euclidean,0.02,1,0
BFS,4.15,149,84
DFS,2.67,97,84
BestFS,1.41,128,84
A,1.77,127,84
Dijkstra,8.28,296,84
BestFS Euclidean,1.74,179,84
A Euclidean,0.03,1,0
BFS,3.42,121,66
DFS,2.51,78,66
BestFS,1.04,104,66
A,0.96,110,66
Dijkstra,6.97,241,66
BestFS Euclidean,1.22,104,66
A Euclidean,0.03,1,0
BFS,3.66,109,91
DFS,3.49,95,91
BestFS,1.62,96,91
A,1.29,96,91
Dijkstra,7.22,215,91
BestFS Euclidean,1.44,96,91
A Euclidean,0.02,1,0
BFS,3.15,122,44
DFS,1.01,54,44
BestFS,0.79,56,44
A,0.9,86,44
Dijkstra,6.63,243,44
BestFS Euclidean,0.86,54,44
A Euclidean,0.02,1,0
BFS,3.64,129,97
DFS,4.01,128,97
BestFS,1.7,129,97
A,1.97,124,97
Dijkstra,7.93,257,97
BestFS Euclidean,1.58,129,97
A Euclidean,0.02,1,0
BFS,0.52,16,8
DFS,0.36,13,8
BestFS,0.21,11,8
A,0.12,11,8
Dijkstra,1.04,33,8
BestFS Euclidean,0.17,11,8
A Euclidean,0.01,1,0
BFS,3.79,170,96
DFS,5.09,168,96
BestFS,2.09,165,96
A,2.1,169,96
Dijkstra,9.93,340,96
BestFS Euclidean,1.81,169,96
A Euclidean,0.04,1,0
BFS,4.02,145,72
DFS,4.59,124,72
BestFS,1.53,116,72
A,2.49,138,72
Dijkstra,12.47,289,72
BestFS Euclidean,1.33,111,72
A Euclidean,0.02,1,0
BFS,0.67,20,19
DFS,0.61,20,19
BestFS,0.42,21,19
A,0.55,20,19
Dijkstra,1.35,39,19
BestFS Euclidean,0.38,21,19
A Euclidean,0.02,1,0
BFS,5.17,146,64
DFS,2.99,73,64
BestFS,1.75,118,64
A,1.46,118,64
Dijkstra,10.26,291,64
BestFS Euclidean,1.77,134,64
A Euclidean,0.03,1,0
BFS,0.8,31,12
DFS,0.47,14,12
BestFS,0.17,15,12
A,0.23,14,12
Dijkstra,1.88,58,12
BestFS Euclidean,0.3,18,12
A Euclidean,0.03,1,0
BFS,3.49,135,43
DFS,2.48,120,43
BestFS,1.17,63,43
A,1.29,115,43
Dijkstra,11.24,271,43
BestFS Euclidean,1.09,64,43
A Euclidean,0.04,1,0
BFS,3.56,135,40
DFS,1.3,43,40
BestFS,0.54,44,40
A,1.24,103,40
Dijkstra,8.26,268,40
BestFS Euclidean,0.84,44,40
A Euclidean,0.02,1,0
BFS,5.09,173,73
DFS,3.61,99,73
BestFS,1.42,101,73
A,2.03,132,73
Dijkstra,9.53,344,73
BestFS Euclidean,1.24,101,73
A Euclidean,0.02,1,0
BFS,3.65,142,74
DFS,4.57,178,74
BestFS,1.52,178,74
A,1.75,132,74
Dijkstra,7.93,286,74
BestFS Euclidean,1.42,178,74
A Euclidean,0.03,1,0
BFS,1.39,63,25
DFS,1.98,89,25
