Algorithm,Time,Steps,Length
Dijkstra,7.1,194,30
BestFS Euclidean,0.6,42,30
A Euclidean,0.84,72,30
BFS,1.46,56,18
DFS,4.72,160,18
BestFS,0.63,26,22
A,0.46,28,18
Dijkstra,4.28,116,18
BestFS Euclidean,0.39,26,22
A Euclidean,0.6,35,18
BFS,0.58,19,6
DFS,4.15,142,6
BestFS,0.19,10,6
A,0.27,11,6
Dijkstra,1.37,38,6
BestFS Euclidean,0.13,10,6
A Euclidean,0.26,11,6
BFS,4.34,149,27
DFS,4.4,131,51
BestFS,0.81,38,27
A,0.86,53,27
Dijkstra,11.76,301,27
BestFS Euclidean,0.89,36,27
A Euclidean,0.85,64,27
BFS,2.62,84,26
DFS,1.42,77,30
BestFS,0.5,42,26
A,0.79,45,26
Dijkstra,6.37,171,26
BestFS Euclidean,0.74,43,26
A Euclidean,0.75,56,26
BFS,2.25,106,17
DFS,2.41,74,23
BestFS,0.48,27,17
A,0.63,31,17
Dijkstra,7.47,217,17
BestFS Euclidean,0.49,24,17
A Euclidean,0.69,46,17
BFS,6.43,173,118
DFS,6.49,180,132
BestFS,2.39,150,118
A,2.35,145,118
Dijkstra,13.76,351,118
BestFS Euclidean,2.41,142,118
A Euclidean,2.42,152,118
BFS,5.21,171,30
DFS,3.05,89,70
BestFS,1.33,92,64
A,1.32,90,30
Dijkstra,13.71,341,30
BestFS Euclidean,0.82,56,30
A Euclidean,1.24,99,30
BFS,4.61,145,30
DFS,1.53,41,34
BestFS,0.76,42,30
A,1.57,117,30
Dijkstra,13.31,288,30
BestFS Euclidean,0.46,40,30
A Euclidean,2.14,128,30
BFS,7.63,206,57
DFS,5.54,146,87
BestFS,2.49,172,57
A,2.36,211,57
Dijkstra,16.55,411,57
BestFS Euclidean,2.05,170,57
A Euclidean,2.77,206,57
BFS,1.61,48,17
DFS,5.68,150,93
BestFS,0.62,34,17
A,0.69,26,17
Dijkstra,3.67,98,17
BestFS Euclidean,0.61,32,17
A Euclidean,2.74,30,17
BFS,4.53,106,34
DFS,3.91,101,82
BestFS,1.06,47,34
A,1.54,64,34
Dijkstra,16.96,214,34
BestFS Euclidean,1.44,40,34
A Euclidean,2.29,77,34
BFS,3.02,89,30
DFS,4.45,166,90
BestFS,1.02,67,30
A,1.78,73,30
Dijkstra,8.52,177,30
BestFS Euclidean,0.5,59,30
A Euclidean,0.7,75,30
BFS,6.03,189,42
DFS,3.84,108,48
BestFS,1.22,75,46
A,2.29,154,42
Dijkstra,14.92,380,42
BestFS Euclidean,0.96,78,46
A Euclidean,1.84,163,42
BFS,3.26,110,25
DFS,1.04,34,25
BestFS,0.62,38,25
A,0.95,64,25
Dijkstra,8.22,215,25
BestFS Euclidean,0.68,38,25
A Euclidean,1.05,70,25
BFS,4.02,138,26
DFS,3.9,105,42
BestFS,0.75,32,26
A,1.03,69,26
Dijkstra,11.18,280,26
BestFS Euclidean,0.71,32,26
A Euclidean,1.07,86,26
BFS,1.2,40,15
DFS,0.92,23,15
BestFS,0.43,21,15
A,0.6,26,15
Dijkstra,3.46,78,15
BestFS Euclidean,0.41,21,15
A Euclidean,0.53,28,15
BFS,6.81,185,43
DFS,6.11,155,113
BestFS,1.34,69,51
A,1.62,118,43
Dijkstra,13.53,372,43
BestFS Euclidean,1.04,69,51
A Euclidean,1.65,159,43
BFS,2.74,101,24
DFS,5.26,163,44
BestFS,0.5,34,24
A,0.75,37,24
Dijkstra,7.45,203,24
BestFS Euclidean,0.59,45,24
A Euclidean,0.75,54,24
BFS,1.92,65,17
DFS,1.17,33,29
BestFS,0.44,32,17
A,0.58,32,17
Dijkstra,5.19,137,17
BestFS Euclidean,0.49,23,17
A Euclidean,0.6,33,17
BFS,4.14,134,32
DFS,1.83,47,36
BestFS,1.1,58,32
A,0.97,50,32
Dijkstra,9.45,271,32
BestFS Euclidean,0.75,57,32
A Euclidean,0.94,73,32
BFS,3.2,94,43
DFS,2.49,76,47
BestFS,1.38,79,43
A,0.96,81,43
Dijkstra,7.67,191,43
BestFS Euclidean,1.18,79,43
A Euclidean,1.21,83,43
BFS,5.76,179,81
DFS,4.14,122,81
BestFS,2.85,170,81
A,2.49,182,81
Dijkstra,13.98,358,81
BestFS Euclidean,2.13,170,81
A Euclidean,2.47,179,81
BFS,4.79,156,30
DFS,5.29,142,104
BestFS,0.89,59,30
A,1.37,79,30
Dijkstra,10.6,303,30
BestFS Euclidean,0.76,56,30
A Euclidean,1.05,86,30
BFS,1.79,58,18
DFS,6.06,208,66
BestFS,0.43,23,18
A,0.4,22,18
Dijkstra,4.82,122,18
BestFS Euclidean,0.53,23,18
A Euclidean,0.58,25,18
BFS,2.64,80,27
DFS,5.67,198,31
BestFS,0.53,42,27
A,0.81,59,27
Dijkstra,6.17,167,27
BestFS Euclidean,0.64,52,39
A Euclidean,0.97,64,27
BFS,0.33,11,5
DFS,0.22,7,5
BestFS,0.15,8,5
A,0.24,6,5
Dijkstra,0.78,22,5
BestFS Euclidean,0.14,8,5
A Euclidean,0.21,6,5
BFS,1.52,57,25
DFS,4.28,148,25
BestFS,0.63,38,25
A,0.8,38,25
Dijkstra,4.2,112,25
BestFS Euclidean,0.63,34,25
A Euclidean,0.52,39,25
